Df,Sum Sq,Mean Sq,F value,Pr(>F),model
1,1.128949172454957e-4,1.128949172454957e-4,0.10181045884399768,0.7513281047870495,`sqrt_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,6.253511767269962e-5,6.253511767269962e-5,0.05639517862683015,0.8134991714031201,`sqrt_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.00652607951931161,0.00652607951931161,5.885323861557994,0.0198706734570169,`sqrt_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.00129260092144879,0.00129260092144879,1.1656883775263711,0.2867562701361221,`sqrt_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.00330782209020799,0.00330782209020799,2.9830473593958353,0.09185652372090648,`sqrt_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
40,0.04435493898263734,0.00110887347456593,NA,NA,`sqrt_Leaf Dry Matter Content (LDMC)(g/g)` ~ CO2 * Temperature *      Drought
1,0.3623769688570867,0.3623769688570867,0.9188655342601004,0.34367818439345577,`sqrt_Average No. of Seeds per Flower Head (AFH)` ~ CO2 * Temperature *      Drought
1,2.093413714300562,2.093413714300562,5.308189748054373,0.02663994566211482,`sqrt_Average No. of Seeds per Flower Head (AFH)` ~ CO2 * Temperature *      Drought
1,4.99185386307313,4.99185386307313,12.657654489764177,0.00100103331503643,`sqrt_Average No. of Seeds per Flower Head (AFH)` ~ CO2 * Temperature *      Drought
1,1.387920277071946,1.387920277071946,3.5192968000267535,0.06815723305109551,`sqrt_Average No. of Seeds per Flower Head (AFH)` ~ CO2 * Temperature *      Drought
1,0.11744392312552646,0.11744392312552646,0.29779810099051385,0.5883741168588059,`sqrt_Average No. of Seeds per Flower Head (AFH)` ~ CO2 * Temperature *      Drought
39,15.380598421080713,0.39437431848924903,NA,NA,`sqrt_Average No. of Seeds per Flower Head (AFH)` ~ CO2 * Temperature *      Drought
1,0.03689922613223839,0.03689922613223839,0.5140519048275414,0.4776622771926372,`log_Average Individual Seed Mass (ASM)(g)` ~ CO2 * Temperature *      Drought
1,0.10837846367558372,0.10837846367558372,1.5098461820054623,0.2265256487331704,`log_Average Individual Seed Mass (ASM)(g)` ~ CO2 * Temperature *      Drought
1,0.03020544248500023,0.03020544248500023,0.42079921107091256,0.520340214044166,`log_Average Individual Seed Mass (ASM)(g)` ~ CO2 * Temperature *      Drought
1,0.14929410674166915,0.14929410674166915,2.0798517474335387,0.1572377781529765,`log_Average Individual Seed Mass (ASM)(g)` ~ CO2 * Temperature *      Drought
1,4.2203404684993507e-4,4.2203404684993507e-4,0.005879456791527147,0.9392720329618616,`log_Average Individual Seed Mass (ASM)(g)` ~ CO2 * Temperature *      Drought
39,2.7994640339677153,0.07178112907609527,NA,NA,`log_Average Individual Seed Mass (ASM)(g)` ~ CO2 * Temperature *      Drought
